amount,transaction_freq_24h,account_age_days,is_weekend,is_fraud
46.92680899768591,4,371,0,0
301.0121430917521,3,216,0,0
131.67456935454493,3,49,1,0
91.29425537759532,2,797,0,0
16.962487046234628,0,463,1,0
16.959629191460518,4,118,0,0
5.983876860868068,5,82,1,0
201.12308644799396,2,263,0,0
91.90821536272645,3,589,0,0
123.12500617045903,7,723,1,0
2.0799307999138623,5,496,0,0
350.3557475158312,3,634,0,0
178.6429543354675,1,837,0,0
23.8687625248947,3,602,1,0
20.067898874966335,4,770,1,0
20.261142283225706,1,673,0,0
36.27537294604771,3,176,1,0
74.39278308608544,3,805,1,0
56.55370667803366,4,89,1,0
34.42229925539415,1,639,1,0
94.63708738997987,2,985,1,0
15.023452872733866,3,359,0,0
34.551551200240226,2,286,0,0
45.6277218220847,1,297,0,0
60.893468785977504,1,260,1,0
153.7936011030912,3,851,1,0
22.273586212869027,0,475,1,0
72.20291550331277,3,756,0,0
89.75047213097605,1,623,0,0
4.756384975640855,1,935,0,0
93.533302064961,7,536,0,0
18.696125197741644,3,562,0,0
6.726393087930424,2,37,0,0
297.3687793506931,4,181,0,0
337.06303424611724,4,765,0,0
165.23315728128767,0,25,1,0
36.32878599687583,3,349,1,0
10.277731500250624,3,637,1,0
115.27507630986618,7,543,0,0
58.009084258539836,3,749,0,0
13.015223395444863,2,227,0,0
68.35472281341501,4,348,1,0
3.4993721443479084,2,38,0,0
240.04228873930236,2,383,1,0
29.94577768406861,3,570,1,0
108.62557985649804,0,236,0,0
37.354658165762366,0,181,1,0
73.41108959092286,3,114,0,0
79.12237979817975,4,306,1,0
20.438859950790576,6,132,0,0
349.28071327362267,4,348,0,0
149.22453771381407,2,180,0,0
280.50944192915824,2,415,1,0
225.21519975341965,8,983,0,0
91.1054412383275,4,590,0,0
254.9435379269405,3,732,0,0
9.265545895311563,1,654,0,0
21.813469463126744,2,385,0,0
4.628196568683196,1,512,1,0
39.35320868030868,3,43,1,0
49.21302917942186,4,480,1,0
31.65604432088257,0,118,0,0
176.45578652409338,2,571,0,0
44.12269995298701,5,61,0,0
32.98028401342492,5,553,1,0
78.2407083207746,3,786,1,0
15.189814782062886,1,188,0,0
162.04835957747312,3,453,1,0
7.747586881130901,2,847,1,0
433.41463395873194,5,187,0,0
147.94837762415114,1,938,1,0
22.153944050588596,3,464,0,0
0.5537420375935475,3,740,1,0
